rp,i,width,u,ld,t0,e,w,curveID
0.1,68.66728277735187,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve115
0.1,64.40073933282224,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve116
0.1,60.134195888292616,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve117
0.1,55.86765244376299,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve118
0.1,51.60110899923337,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve119
0.1,90.0,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve120
0.1,85.92269671702545,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve121
0.1,81.84539343405089,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve122
0.1,77.76809015107634,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve123
0.1,73.69078686810178,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve124
0.1,69.61348358512723,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve125
0.1,65.53618030215266,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve126
0.1,61.458877019178104,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve127
0.1,57.38157373620355,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve128
0.1,53.304270453228995,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve129
0.1,90.0,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve130
0.1,86.10008390929804,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve131
0.1,82.20016781859607,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve132
0.1,78.3002517278941,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve133
0.1,74.40033563719216,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve134
0.1,70.50041954649019,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve135
0.1,66.60050345578823,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve136
0.1,62.700587365086264,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve137
0.1,58.80067127438431,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve138
0.1,54.90075518368234,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve139
0.1,90.0,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve140
0.1,86.26690596166159,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve141
0.1,82.5338119233232,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve142
0.1,78.80071788498479,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve143
0.1,75.06762384664638,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve144
0.1,71.33452980830799,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve145
0.1,67.60143576996958,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve146
0.1,63.86834173163118,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve147
0.1,60.13524769329278,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve148
0.1,56.402153654954375,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve149
0.1,90.0,0.0006670185793059216,0.1 0.3,quadratic,0.0,0.0,0.0,curve150
